Model,Baseline,Codec:ASVLD,Codec:ASV21DF,Codec:ASV5,Noise:ASVLD,Resampling:ASVLD,Reverb:ASVLD,Channel:ASVLD,Channel:ASV21LA,Channel:ASV5
APC,26.7073,26.7467,26.6592,31.4585,27.1121,26.4512,35.3087,26.7249,26.0579,29.6771
VQ-APC,26.2406,26.4071,25.9303,29.6561,27.6832,26.3636,31.1263,26.2314,25.9986,26.2024
NPC,26.9259,27.3460,26.7753,29.2953,28.9597,27.1681,30.1204,26.9390,27.1039,26.9129
Mockingjay-960h,20.7928,21.6296,21.5783,24.0202,23.5696,22.4366,29.5726,20.8659,22.7322,24.1435
TERA,22.9199,22.7405,22.4214,32.8337,24.6467,24.0583,31.2283,22.8985,25.8125,37.7733
DeCoAR 2.0,20.7642,20.6982,20.7498,26.2631,21.2568,20.8193,24.5332,20.6559,20.9433,20.7620
wav2vec,26.3180,25.7478,25.7791,34.3271,28.5938,26.0777,34.6676,26.2425,26.0662,28.7793
wav2vec 2.0 Base,18.0609,17.7467,17.6074,26.5875,21.1441,17.9495,24.1368,18.0432,17.3208,20.5885
wav2vec 2.0 Large,9.9385,10.5439,10.0557,21.6221,15.8682,11.0722,21.1020,9.9385,13.6784,16.8815
HuBERT Base,17.8582,17.3977,17.2741,27.3975,18.6816,17.3061,19.3996,17.8032,16.7435,22.3906
HuBERT Large,12.8934,12.3734,12.4089,24.8277,13.6722,12.2496,21.5702,12.7485,12.1408,19.9407
MR-HuBERT,9.9614,9.5209,9.9135,20.5037,10.3227,10.1423,12.8682,9.5439,10.0956,9.6848
XLS-R,8.0724,7.5109,7.8273,23.1045,8.6080,7.3656,12.6618,7.4159,9.1665,14.3842
UniSpeech-SAT,10.9561,10.1724,10.5027,23.2163,11.3957,10.1860,13.5911,10.4442,10.1776,16.2296
Data2Vec,19.9670,19.3846,19.6248,26.0918,19.7706,19.5192,22.5446,19.5001,19.2017,21.1043
WAVLABLM,14.1401,13.5071,13.6785,25.4039,15.3370,13.3315,22.1229,13.5961,14.7237,20.1222
WavLM Large,9.0901,8.4162,8.8337,21.8019,10.4409,8.3704,16.3080,8.5604,9.6896,17.1955
SSAST,18.6228,21.4562,18.5893,34.0061,21.3396,25.3208,25.2124,26.2821,23.8465,38.0202
MAE-AST-FRAME,17.0363,18.8773,17.0412,33.2841,19.2263,19.0004,24.5854,19.7156,18.3183,27.0294
