SSL Model,ASV19 LA,ASV21 LA,ASV21 DF,ASV5 Eval,ITW,DFEval24,FF,ASVLD,MLAAD,SpoofCeleb,Mean
LFCC-GMM,3.700,37.541,28.988,37.571,65.379,47.666,37.349,38.481,92.847,27.128,41.665
AASIST,3.223,12.492,20.874,38.236,32.619,49.493,62.378,15.947,26.336,57.972,31.957
APC,10.235,16.334,20.838,33.307,30.976,41.396*,58.344,17.902,36.691,40.976,30.700
VQ-APC,11.273,18.876,20.573,30.583,30.536,51.552,58.660,18.953,41.711,41.688,32.440
NPC,12.892,17.619,23.771,34.147,38.211,46.709,51.808,21.374,44.131,43.531,33.419
Mockingjay-960h,15.582,25.525,23.689,34.125,54.850,53.272,50.084,28.742,62.685,46.000,39.456
TERA,7.478,26.572,17.549,35.656,25.432,47.944,49.282,24.106,53.261,35.168,32.245
DeCoAR 2.0,5.751,12.351,15.697,23.808,28.175,44.045,54.628,14.540,45.381,38.431,28.281
wav2vec,5.641,15.501,14.891,30.693,35.470,58.724,50.901,25.354,63.466,40.468,34.111
wav2vec 2.0 Base,3.220,11.452,10.196,18.698,35.832,53.559,52.001,26.440,51.104,32.604,29.511
wav2vec 2.0 Large,6.091,18.897,11.637,19.958,39.488,57.555,46.045,26.880,43.388,34.136,30.408
HuBERT Base,4.123,12.561,10.815,19.648,18.956,50.486,53.774,16.891,45.339,29.662,26.226
HuBERT Large,2.096,10.053,8.821,17.422,13.609,54.099,48.606,15.749,35.953,25.721,23.213*
MR-HuBERT,2.243,9.014,7.875,17.037,20.252,54.517,53.406,9.641*,30.332,23.362,22.768*
XLS-R,1.808,14.101,4.333*,14.394*,17.461,50.463,30.024*,10.280,20.188,19.247,18.230*
UniSpeech-SAT,1.346*,8.818*,7.588,14.996,10.841*,49.569,46.897,9.713,21.821,18.053*,18.964*
Data2Vec,9.218,12.877,15.457,21.470,27.811,52.425,53.523,14.875,28.170,32.031,26.786
WAVLABLM,2.910,15.381,9.895,21.116,16.206,55.709,53.219,15.671,38.055,29.597,25.776
WavLM Large,1.697,12.395,9.246,14.973,17.986,52.085,36.269,13.306,29.751,24.920,21.263*
SSAST,11.543,24.924,22.899,31.187,46.040,46.598,34.107,28.864,22.520,36.585,30.527
MAE-AST-FRAME,5.058,19.554,16.390,24.513,52.192,54.774,34.821,23.039,18.953*,34.973,28.427
