model,column,old,new,delta
APC,ASV19 LA,10.075,10.235,0.16
APC,ASV21 LA,16.335,16.334,-0.001
APC,ASV21 DF,22.276,20.838,-1.438
APC,ASV5 Eval,33.311,33.307,-0.004
APC,ITW,36.889,30.976,-5.913
APC,DFEval24,42.662,41.396,-1.266
APC,FF,58.402,58.344,-0.058
APC,ASVLD,17.599,17.902,0.303
APC,MLAAD,37.267,36.691,-0.576
APC,SpoofCeleb,40.985,40.976,-0.009
VQ-APC,ASV19 LA,12.155,11.273,-0.882
VQ-APC,ASV21 LA,18.872,18.876,0.004
VQ-APC,ASV21 DF,20.217,20.573,0.356
VQ-APC,ASV5 Eval,30.581,30.583,0.002
VQ-APC,ITW,34.86,30.536,-4.324
VQ-APC,DFEval24,52.173,51.552,-0.621
VQ-APC,FF,58.544,58.66,0.116
VQ-APC,ASVLD,17.88,18.953,1.073
VQ-APC,MLAAD,39.747,41.711,1.964
VQ-APC,SpoofCeleb,41.699,41.688,-0.011
NPC,ASV19 LA,15.243,12.892,-2.351
NPC,ASV21 LA,17.619,17.619,0.0
NPC,ASV21 DF,25.239,23.771,-1.468
NPC,ASV5 Eval,37.868,34.147,-3.721
NPC,ITW,40.986,38.211,-2.775
NPC,DFEval24,49.843,46.709,-3.134
NPC,FF,51.979,51.808,-0.171
NPC,ASVLD,19.766,21.374,1.608
NPC,MLAAD,42.83,44.131,1.301
NPC,SpoofCeleb,43.554,43.531,-0.023
Mockingjay-960h,ASV19 LA,13.801,15.582,1.781
Mockingjay-960h,ASV21 LA,25.525,25.525,0.0
Mockingjay-960h,ASV21 DF,22.584,23.689,1.105
Mockingjay-960h,ASV5 Eval,37.866,34.125,-3.741
Mockingjay-960h,ITW,52.387,54.85,2.463
Mockingjay-960h,DFEval24,52.13,53.272,1.142
Mockingjay-960h,FF,49.953,50.084,0.131
Mockingjay-960h,ASVLD,39.042,28.742,-10.3
Mockingjay-960h,MLAAD,98.085,62.685,-35.4
Mockingjay-960h,SpoofCeleb,46.362,46.0,-0.362
TERA,ASV19 LA,9.112,7.478,-1.634
TERA,ASV21 LA,26.572,26.572,0.0
TERA,ASV21 DF,17.254,17.549,0.295
TERA,ASV5 Eval,35.656,35.656,0.0
TERA,ITW,39.894,25.432,-14.462
TERA,DFEval24,54.251,47.944,-6.307
TERA,FF,49.282,49.282,0.0
TERA,ASVLD,34.107,24.106,-10.001
TERA,MLAAD,98.085,53.261,-44.824
TERA,SpoofCeleb,38.999,35.168,-3.831
DeCoAR 2.0,ASV19 LA,7.628,5.751,-1.877
DeCoAR 2.0,ASV21 LA,12.352,12.351,-0.001
DeCoAR 2.0,ASV21 DF,18.99,15.697,-3.293
DeCoAR 2.0,ASV5 Eval,29.571,23.808,-5.763
DeCoAR 2.0,ITW,35.029,28.175,-6.854
DeCoAR 2.0,DFEval24,49.8,44.045,-5.755
DeCoAR 2.0,FF,54.452,54.628,0.176
DeCoAR 2.0,ASVLD,13.281,14.54,1.259
DeCoAR 2.0,MLAAD,38.204,45.381,7.177
DeCoAR 2.0,SpoofCeleb,38.442,38.431,-0.011
wav2vec,ASV19 LA,8.812,5.641,-3.171
wav2vec,ASV21 LA,15.5,15.501,0.001
wav2vec,ASV21 DF,14.761,14.891,0.13
wav2vec,ASV5 Eval,30.691,30.693,0.002
wav2vec,ITW,42.239,35.47,-6.769
wav2vec,DFEval24,53.895,58.724,4.829
wav2vec,FF,51.048,50.901,-0.147
wav2vec,ASVLD,23.318,25.354,2.036
wav2vec,MLAAD,54.451,63.466,9.015
wav2vec,SpoofCeleb,40.479,40.468,-0.011
wav2vec 2.0 Base,ASV19 LA,4.661,3.22,-1.441
wav2vec 2.0 Base,ASV21 LA,11.452,11.452,0.0
wav2vec 2.0 Base,ASV21 DF,10.046,10.196,0.15
wav2vec 2.0 Base,ASV5 Eval,18.698,18.698,0.0
wav2vec 2.0 Base,ITW,40.945,35.832,-5.113
wav2vec 2.0 Base,DFEval24,56.981,53.559,-3.422
wav2vec 2.0 Base,FF,51.921,52.001,0.08
wav2vec 2.0 Base,ASVLD,23.886,26.44,2.554
wav2vec 2.0 Base,MLAAD,39.797,51.104,11.307
wav2vec 2.0 Base,SpoofCeleb,32.601,32.604,0.003
wav2vec 2.0 Large,ASV19 LA,7.695,6.091,-1.604
wav2vec 2.0 Large,ASV21 LA,18.887,18.897,0.01
wav2vec 2.0 Large,ASV21 DF,11.617,11.637,0.02
wav2vec 2.0 Large,ASV5 Eval,19.956,19.958,0.002
wav2vec 2.0 Large,ITW,40.461,39.488,-0.973
wav2vec 2.0 Large,DFEval24,55.764,57.555,1.791
wav2vec 2.0 Large,FF,44.401,46.045,1.644
wav2vec 2.0 Large,ASVLD,24.711,26.88,2.169
wav2vec 2.0 Large,MLAAD,33.045,43.388,10.343
wav2vec 2.0 Large,SpoofCeleb,34.149,34.136,-0.013
HuBERT Base,ASV19 LA,4.867,4.123,-0.744
HuBERT Base,ASV21 LA,12.562,12.561,-0.001
HuBERT Base,ASV21 DF,13.387,10.815,-2.572
HuBERT Base,ASV5 Eval,23.99,19.648,-4.342
HuBERT Base,ITW,27.276,18.956,-8.32
HuBERT Base,DFEval24,53.747,50.486,-3.261
HuBERT Base,FF,53.749,53.774,0.025
HuBERT Base,ASVLD,13.848,16.891,3.043
HuBERT Base,MLAAD,36.841,45.339,8.498
HuBERT Base,SpoofCeleb,29.671,29.662,-0.009
HuBERT Large,ASV19 LA,2.788,2.096,-0.692
HuBERT Large,ASV21 LA,10.049,10.053,0.004
HuBERT Large,ASV21 DF,11.996,8.821,-3.175
HuBERT Large,ASV5 Eval,21.252,17.422,-3.83
HuBERT Large,ITW,21.039,13.609,-7.43
HuBERT Large,DFEval24,52.991,54.099,1.108
HuBERT Large,FF,48.44,48.606,0.166
HuBERT Large,ASVLD,12.593,15.749,3.156
HuBERT Large,MLAAD,24.704,35.953,11.249
HuBERT Large,SpoofCeleb,25.721,25.721,0.0
MR-HuBERT,ASV19 LA,2.478,2.243,-0.235
MR-HuBERT,ASV21 LA,9.017,9.014,-0.003
MR-HuBERT,ASV21 DF,11.635,7.875,-3.76
MR-HuBERT,ASV5 Eval,23.056,17.037,-6.019
MR-HuBERT,ITW,23.799,20.252,-3.547
MR-HuBERT,DFEval24,49.696,54.517,4.821
MR-HuBERT,FF,52.72,53.406,0.686
MR-HuBERT,ASVLD,7.041,9.641,2.6
MR-HuBERT,MLAAD,20.79,30.332,9.542
MR-HuBERT,SpoofCeleb,23.373,23.362,-0.011
XLS-R,ASV19 LA,1.985,1.808,-0.177
XLS-R,ASV21 LA,14.096,14.101,0.005
XLS-R,ASV21 DF,4.314,4.333,0.019
XLS-R,ASV5 Eval,14.394,14.394,0.0
XLS-R,ITW,20.073,17.461,-2.612
XLS-R,DFEval24,45.392,50.463,5.071
XLS-R,FF,29.598,30.024,0.426
XLS-R,ASVLD,10.782,10.28,-0.502
XLS-R,MLAAD,9.203,20.188,10.985
XLS-R,SpoofCeleb,19.269,19.247,-0.022
UniSpeech-SAT,ASV19 LA,1.961,1.346,-0.615
UniSpeech-SAT,ASV21 LA,8.818,8.818,0.0
