Model,CNN,Commercial,Diffusion,Diffusion + Flow,Diffusion + LLM,Flow,Flow + LLM,LLM,RNN,Transformer,Unknown
APC,37.9500,30.1833,33.8967,34.2000,36.7487,33.7036,37.0163,40.2082,33.7911,32.5197,24.7250
VQ-APC,37.4500,39.1978,39.6468,36.7500,42.2871,38.4830,40.3511,44.9269,35.9500,39.6929,25.4000
NPC,33.8618,41.9360,46.0800,46.0405,40.7500,40.4220,50.2675,45.6833,40.6149,40.8857,34.4992
Mockingjay-960h,63.3500,67.2695,69.0041,55.8496,62.8435,57.0365,63.6163,63.8737,55.8667,64.7219,62.7250
TERA,48.6500,51.0950,60.5861,49.4118,53.1643,46.6268,61.3907,55.1823,43.5184,48.8720,42.2000
DeCoAR 2.0,45.2000,40.8643,47.5100,34.9921,48.4714,40.8415,53.4674,47.2016,35.9666,43.8582,49.7531
wav2vec,50.9500,62.9738,67.1300,44.0534,60.9929,57.5268,66.2046,67.5211,47.7992,66.3933,75.9311
wav2vec 2.0 Base,51.4000,50.2692,58.4033,33.6027,53.5135,45.6051,56.0253,52.5279,40.8667,52.0000,63.2504
wav2vec 2.0 Large,51.6598,42.6619,39.1332,30.1000,42.6785,38.3756,45.3698,45.4753,44.3758,50.7656,58.5690
HuBERT Base,53.0567,36.9425,46.3238,29.7079,50.7072,41.9953,54.5744,46.8624,38.4833,45.5652,54.8000
HuBERT Large,38.9000,27.5619,36.6794,16.0000,39.4286,31.0683,44.6395,38.8452,27.1433,35.0000,23.3745
MR-HuBERT,34.0000,25.0905,32.6600,15.8500,33.0214,24.4295,35.6116,33.0722,11.7929,29.2571,27.2250
XLS-R,18.1000,14.1738,17.1768,11.8500,22.7571,13.9755,24.0790,23.3672,8.4907,18.7714,20.3500
UniSpeech-SAT,34.8000,15.5524,19.3360,9.3889,28.5777,17.5573,28.0951,23.7479,11.2017,23.6445,13.2274
Data2Vec,22.6598,26.2857,30.3634,17.7880,32.9500,22.4147,38.5344,28.9967,18.1079,28.5857,19.9500
WAVLABLM,48.0500,38.1425,41.5167,19.3000,43.5768,29.7746,46.2725,39.8656,23.4482,40.6429,32.4250
WavLM Large,29.1609,24.4785,30.0439,15.9000,37.1500,25.2280,37.5628,30.5957,26.2906,33.0276,22.1500
SSAST,25.9000,22.9624,18.7529,19.5500,12.9929,21.5588,22.3974,24.1081,23.0594,22.2429,15.8693
MAE-AST-FRAME,31.8000,21.3286,17.7600,14.6555,14.7079,16.8512,24.6884,18.7763,7.2417,18.0350,24.3500
