Model,AR,NAR,Closed / Undisclosed
APC,38.9493,33.1644,29.6041
VQ-APC,43.4780,38.1217,38.7455
NPC,45.7909,41.4643,41.4021
Mockingjay-960h,63.4401,60.0852,67.3022
TERA,55.1889,50.3382,51.0131
DeCoAR 2.0,48.0209,41.8513,40.4794
wav2vec,66.3386,59.3817,63.2228
wav2vec 2.0 Base,53.1448,48.2367,50.3796
wav2vec 2.0 Large,45.9617,38.2181,43.0980
HuBERT Base,48.6055,41.9763,37.1476
HuBERT Large,39.2008,32.4461,26.9367
MR-HuBERT,32.5434,26.9375,24.6591
XLS-R,22.7690,14.9774,13.8608
UniSpeech-SAT,24.0629,18.4279,15.1659
Data2Vec,30.2989,24.5095,25.7569
WAVLABLM,40.5217,33.2348,37.1973
WavLM Large,32.0772,26.7025,23.9227
SSAST,23.4529,20.2157,22.4772
MAE-AST-FRAME,19.7433,16.3819,20.7937
