Model,Azzurra-Voice,Bark,Capacitron,CaroTTS,Cartesia-Sonic,ChatTTS,Chatterbox,DeepGram,E2-TTS,Edge-TTS,ElevenLabs,F5-TTS,FastPitch,FireRedTTS,FishTTS,GLM-TTS,Gemini-TTS,GlowTTS,Higgs-Audio-V2,Index-TTS,IndicF5,Indri-TTS,Jenny,Kani-TTS,Kitten-TTS,Kokoro,KugelAudio,Kyutai-TTS,LFM2.5-Audio,Llasa,LongCat-AudioDiT,LuxTTS,MOSS-TTS,Magpie-TTS,Mars5,MatchaTTS,Maya1-TTS,MegaTTS3,MeloTTS,Metavoice-1B,Ming-omni-tts,MiniCPM-o-2.6,MiniMax-Speech,MiraTTS,Nari-Dia,NeuTTS,NeuralHMM,OmniVoice,OpenAI-TTS-1-HD,OpenAudio-S1-Mini,OpenVoiceV2,Optispeech,Orpheus-TTS,OuteTTS,Overflow,Parler-TTS,PocketTTS,Qwen2.5-Omni,Qwen3-Omni,Raon-OpenTTS,Resemble-AI,Ringg-Squirrel-TTS,Sesame-CSM-1B,SopranoTTS,SoulX-Podcast,Spark-TTS,SpeechT5,SpeedySpeech,Step-Audio-EditX,StyleTTS2,Supertonic,SvaraTTS,TADA,Tacotron,Tacotron2,Tortoise,VITS,VITS-MMS,VITS2,Veena,VibeVoice,VieNeu-TTS,VixTTS,VoXtream,VoiceCore,VoxCPM,WhisperSpeech,XTTS,YarnGPT,ZipVoice,Zonos
APC,8.8000,44.7382,13.3000,14.1017,35.8500,30.0500,25.7355,56.6000,21.1000,25.3667,30.2019,27.2084,35.5244,62.7500,33.1769,61.0000,51.6215,20.1129,55.6500,47.0192,63.0557,30.6500,23.5000,40.9500,15.7042,34.2600,30.6778,47.1000,40.4044,54.3833,47.7500,34.1000,35.9474,31.2109,41.6247,52.8005,44.0000,34.2000,33.7851,36.7000,35.1000,39.2000,40.7000,64.3130,40.3959,44.4443,28.7000,32.9769,32.6292,21.7636,33.4791,41.9020,50.2000,48.7139,41.6021,32.7007,45.3000,55.8000,32.3778,38.5000,28.6565,22.8513,35.2000,30.1049,43.9000,64.2153,28.9000,32.0796,34.3092,39.8000,28.3207,57.5000,39.1333,48.4000,34.5022,39.7000,29.2512,40.8021,24.1000,27.4939,52.8250,41.7000,21.5086,48.8500,45.0000,36.4000,27.4487,38.9580,26.6667,36.9500,46.1000
VQ-APC,10.6000,45.2003,18.8240,32.4233,47.7500,37.6000,34.6778,59.7041,31.2000,32.8826,45.7600,34.5455,26.7112,71.2500,40.3385,66.0000,63.4905,23.8333,59.7250,52.9250,57.7500,40.9500,29.7000,59.9500,30.6379,42.1562,33.0889,54.8500,55.9762,60.2083,50.2423,45.8000,39.9428,36.5407,48.9000,60.7000,50.6926,36.7500,29.9808,48.1148,45.5000,52.0500,48.5200,62.9000,45.4109,55.4964,22.9868,38.6700,45.2837,31.9334,39.7000,53.1000,55.0000,49.1125,30.6000,55.7000,58.6000,60.3012,41.0333,41.5000,32.3600,27.1499,43.1500,19.7500,51.0000,67.5937,50.6000,18.3000,41.9000,39.4000,48.5034,59.0174,45.5428,58.1000,36.5222,47.4000,30.2821,53.2100,31.3000,35.9000,61.5000,49.1226,23.6000,56.0500,51.3000,34.1334,35.8500,39.9032,31.8964,45.0548,53.4000
NPC,23.3000,45.3913,43.3000,38.3154,43.6500,37.1582,41.4325,54.5000,42.0000,34.4101,48.3975,38.7711,21.2000,65.3015,43.2461,62.8975,66.8000,31.2859,49.4539,53.8550,65.8000,40.5000,32.8987,57.3000,32.1896,42.0600,33.8334,51.9000,49.3000,49.4982,48.3000,49.5804,43.3369,37.6000,54.2000,53.9040,44.4838,46.0405,39.9000,52.1043,51.1025,56.4500,47.0190,53.9000,46.4581,51.3117,30.7835,45.0037,48.4846,35.1334,42.1988,45.8000,44.1877,41.7241,23.1048,52.5606,56.9000,57.5774,44.3500,33.9764,39.8210,39.3500,37.7610,37.0500,49.8000,57.4080,52.6000,15.4124,48.0000,58.6036,37.0991,49.2862,49.1566,46.1962,40.7333,40.8856,33.9479,49.1700,42.8786,43.5500,56.1000,45.9000,36.5500,53.4500,65.7108,52.9222,40.6893,46.1347,36.6061,45.5500,54.6000
Mockingjay-960h,53.6877,54.3853,43.5000,62.6246,73.9500,71.1949,52.5222,83.3500,64.4000,67.2166,71.2404,58.2545,53.4000,86.9877,64.0384,75.3897,93.3816,44.4851,73.1721,70.9750,73.0772,67.3500,61.8022,79.8000,67.9027,63.5600,56.8333,82.5000,73.2162,67.6834,67.6000,67.4898,65.4954,70.3500,76.9765,78.0023,77.4916,55.8496,71.4000,69.6000,71.9000,80.9000,60.4400,69.6969,76.7500,74.4108,46.9000,68.5336,73.6143,59.2667,48.8000,83.3217,81.9000,71.4349,51.5842,81.3379,81.6000,72.9000,64.2611,46.0000,47.8024,64.6924,62.9000,58.4475,71.4132,69.3000,48.1817,49.6000,63.1000,64.0000,69.8005,76.9000,71.1333,83.8845,55.1798,81.3000,50.4827,71.3624,79.9094,76.6500,73.2750,68.4757,56.9617,77.3500,79.2108,62.2933,67.2437,58.7189,38.6707,53.6500,79.4392
TERA,31.0801,40.8441,26.0000,51.3226,52.5500,40.4000,46.8555,69.6000,51.7000,42.6500,60.0805,49.9000,39.3000,84.4507,59.3941,74.9000,77.4108,21.9460,71.3547,66.7250,74.9529,25.4500,47.4998,65.8500,49.5420,56.0800,49.0889,63.2971,66.6805,60.8313,65.0000,54.7050,61.1485,50.1100,66.6000,62.3811,57.0000,49.4118,55.6000,59.5839,62.1580,64.1566,57.4226,61.7000,49.8000,67.1593,32.4957,60.2518,58.1143,49.4389,50.2500,69.3097,59.4026,54.2125,44.8000,63.8599,60.8110,63.6837,62.1723,49.4096,45.0000,48.5500,40.4500,36.6527,62.4787,72.5028,34.4000,24.9168,53.1000,63.7000,47.2886,69.6000,59.0667,60.9945,44.1889,49.7000,37.9138,54.0300,36.5149,49.8500,63.6000,65.7000,35.0034,62.5521,67.4784,67.4111,38.7000,53.8161,37.6333,56.2500,68.0500
DeCoAR 2.0,8.1247,37.3971,31.7867,40.0000,49.3406,34.5014,47.2009,65.2000,56.6000,33.3441,51.9439,45.6930,31.4113,76.9000,48.1917,69.7090,70.2000,16.0464,62.9987,61.3956,72.0500,34.8500,48.6959,56.3500,33.9500,45.9022,41.6889,62.0500,63.7000,55.6917,61.0500,62.2170,47.4273,39.8000,62.3000,77.8005,52.0964,34.9921,59.7000,50.6000,53.1608,47.4500,55.2600,79.3025,53.9000,69.4026,23.4899,46.7370,46.7143,40.0641,35.8538,66.6930,54.3833,46.4125,38.3977,59.4000,60.8000,71.5000,51.4209,61.8772,32.5000,35.4963,57.0573,64.2000,71.7111,80.8000,55.8000,15.7932,47.8603,41.0000,66.1000,48.2000,49.3000,48.6820,35.9889,49.4807,27.8072,44.3100,48.1000,29.1000,65.6000,44.9000,29.7065,64.5449,36.1000,53.9490,35.0500,44.4064,28.5333,51.1000,57.9048
wav2vec,57.0087,52.0879,50.5122,58.9000,69.9000,52.4500,60.9333,83.5000,53.3015,55.6276,71.8200,55.1909,45.8870,81.5085,75.3080,82.6901,80.2000,40.3000,77.2756,71.2972,78.6750,67.2000,90.5958,77.7500,68.7921,66.7351,55.2667,81.8500,89.5000,74.9750,77.6000,50.6000,69.3789,75.3510,79.3000,89.7207,84.0000,44.0534,64.7887,62.1047,69.9000,78.5500,75.4159,90.7881,66.9500,88.6000,33.5000,67.5000,71.3311,70.5000,69.6788,88.2000,80.1804,68.7498,50.8000,82.3666,77.3000,85.6000,75.6111,68.7002,68.2756,57.4001,73.8500,83.0500,85.3000,88.7245,85.0833,30.6802,71.2500,41.5038,89.9054,87.9868,70.1231,91.3078,46.3444,64.7924,47.2449,68.3820,74.3068,74.8941,74.8500,71.3927,48.9500,86.9939,64.9170,62.9219,66.1421,63.6839,59.7968,53.8937,78.0988
wav2vec 2.0 Base,37.8078,29.3178,41.9049,41.8000,63.9504,37.5000,56.0333,75.2101,50.9000,45.6010,65.4612,47.2636,50.2932,58.8001,60.7623,75.7857,83.6000,21.8031,68.3755,59.3000,57.3000,42.3454,76.7000,68.7388,52.2912,50.8200,49.3466,65.8983,76.2000,58.5833,71.1051,49.5000,61.8169,49.9389,69.6000,80.1822,77.6000,33.6027,65.5000,51.4000,58.6998,53.5500,64.0050,81.0135,61.9451,77.5053,36.3000,58.6001,46.8000,57.7366,41.7750,88.5763,74.4000,53.7750,47.8962,78.1380,72.4862,76.0816,66.8722,67.9790,43.8800,57.5557,61.1000,80.4405,81.6000,82.1781,65.2807,28.7171,59.2500,28.0803,84.1886,72.4000,54.6000,45.8000,40.3000,62.7903,37.6897,44.9100,67.5140,59.4500,61.8457,43.2000,27.1988,73.4082,41.0911,53.2618,47.5617,45.6064,21.7667,46.1500,65.9000
wav2vec 2.0 Large,33.0773,19.8118,33.4000,41.7000,52.5000,31.9949,43.8467,55.4000,48.5000,35.2889,51.8000,37.2636,60.1178,49.8500,51.7776,63.8950,68.6150,23.6145,50.1738,52.7000,36.1038,39.2906,75.9000,59.4621,52.3500,50.8181,38.8222,63.6409,72.7852,55.1500,54.0544,43.3000,53.0210,53.8000,62.7000,63.8000,70.8189,30.1000,58.5000,36.6976,51.7000,50.8500,56.8569,77.6000,53.7003,68.6500,42.1000,38.2847,50.2572,54.1000,34.2992,65.1212,69.3000,42.2393,62.8156,71.7356,65.8234,67.7000,55.5722,58.3000,38.1175,41.5101,54.5383,63.4903,70.2000,74.6792,57.4058,39.2777,50.5104,22.3059,64.1000,44.2238,44.0772,51.2794,44.8778,54.3000,33.8371,34.5388,18.8000,45.8000,48.3026,33.6056,27.6000,61.7450,38.9145,42.3042,41.3500,38.2323,27.1330,39.8500,70.0500
HuBERT Base,11.8040,34.5500,49.0000,32.6021,55.5000,39.1500,47.9778,75.1107,57.0000,25.6489,57.6415,42.5002,60.9888,68.0000,46.5608,74.0221,80.1031,18.7000,63.6750,56.7000,59.5450,41.1500,70.5155,59.8000,40.6877,42.5400,44.3542,63.6000,81.2000,57.0000,66.0933,52.8791,51.4368,39.6450,62.1107,87.5861,67.7174,29.7079,64.3000,43.5045,55.4000,44.3000,62.0228,85.2987,63.3475,77.0000,38.8000,45.9704,37.4136,47.2986,27.0760,82.7146,69.2000,46.6125,62.9135,73.8942,72.2000,71.3775,54.1611,72.7000,32.1551,44.3418,63.4454,70.0598,76.1991,85.6000,62.3778,30.5039,52.1000,6.2947,81.0953,61.0951,50.1555,41.8000,36.2111,61.7000,30.1379,45.0407,42.9234,36.6500,64.4250,39.5000,20.1919,69.1892,28.4000,55.6778,33.0051,37.3291,15.0405,47.9617,57.9000
