Model,BiCodec,BigVGAN,Code2Wav,DAC,EnCodec,Firefly-GAN,Griffin-Lim,HiFTNet,HiFi-GAN,Higgs-Audio tokenizer,MOSS-Audio-Tokenizer,MelGAN,Mimi,NanoCodec,NeuCodec,SNAC,UnivNet,VAE decoder,VibeVoice tokenizer,Vocos,WavTokenizer,WaveGlow,WaveNeXt,WaveNet,X-Codec2,iSTFTNet,unknown
APC,64.2960,41.6875,32.3778,36.9440,43.4552,31.0875,48.4000,25.7355,34.8069,35.8323,35.9474,32.0796,39.1364,36.0234,43.5333,41.5506,39.7000,40.7813,36.5077,36.8957,43.5719,23.8890,41.9020,33.0900,54.3833,34.2600,31.7692
VQ-APC,65.0500,48.6000,41.0333,39.1640,44.8838,38.9184,58.1000,34.6778,38.0115,41.2871,39.9428,18.3000,47.8454,48.9500,53.5667,47.2833,47.4000,47.0875,41.7615,41.0783,44.7000,24.1625,53.1000,34.9605,60.2083,42.1562,41.1572
NPC,55.8000,51.1348,44.3500,52.4555,45.5921,41.7923,46.1962,41.4325,41.8196,45.5290,43.3369,15.4124,44.9622,47.9750,49.8055,48.0335,40.8856,48.3623,40.7385,44.0174,40.3990,29.9625,45.8000,41.0400,49.4982,42.0600,43.5791
Mockingjay-960h,69.5500,68.2999,64.2611,66.2517,55.9921,63.1375,83.8845,52.5222,56.9931,69.1905,65.4954,49.6000,70.6364,74.5708,72.3271,78.0500,81.3000,67.3438,61.5621,63.1435,63.6539,45.8278,83.3217,54.2400,67.6834,63.5600,68.7135
TERA,66.9500,60.9391,62.1723,65.6921,41.9710,57.4563,60.9945,46.8555,47.5012,61.6387,61.1485,24.9168,49.7909,58.7750,66.8334,58.3667,49.7000,59.4006,53.4077,53.5216,50.1272,26.0375,69.3097,42.6400,60.8313,56.0800,53.5269
DeCoAR 2.0,80.0069,58.4000,51.4209,54.9920,38.3816,46.7577,48.6820,47.2009,39.1527,48.7232,47.4273,15.7932,53.4455,48.4697,61.9387,41.5973,49.4807,52.8798,48.3681,53.9260,41.9000,19.8613,66.6930,35.5500,55.6917,45.9022,43.4495
wav2vec,89.7000,69.6125,75.6111,66.1166,53.8606,74.3578,91.3078,60.9333,58.3632,68.4574,69.3789,30.6802,74.6079,76.4310,82.0666,77.1333,64.7924,72.6678,60.5692,62.9391,66.5637,40.4230,88.2000,46.9100,74.9750,66.7351,64.5361
wav2vec 2.0 Base,81.5500,59.5000,66.8722,57.6406,32.0637,60.2000,45.8000,56.0333,43.6506,59.6581,61.8169,28.7171,60.3523,58.8500,65.6025,64.4166,62.7903,59.3675,52.7231,53.0217,46.6273,28.3000,88.5763,40.5384,58.5833,50.8200,51.4728
wav2vec 2.0 Large,76.2000,53.2378,55.5722,48.4680,22.8476,52.1390,51.2794,43.8467,37.2094,39.8166,53.0210,39.2777,55.8273,56.6500,58.9667,52.4032,54.3000,48.9250,41.4308,41.8264,38.5273,33.3875,65.1212,43.4579,55.1500,50.8181,44.4942
HuBERT Base,85.4000,57.5000,54.1611,58.7000,35.4974,46.6625,41.8000,47.9778,37.1804,47.9709,51.4368,30.5039,59.5629,49.0247,66.2054,50.8666,61.7000,55.6188,49.7475,51.5435,39.7364,28.6250,82.7146,37.7800,57.0000,42.5400,40.2922
HuBERT Large,69.6963,37.5875,58.4992,46.0960,22.3763,46.7953,10.5233,40.2355,27.7149,39.9129,56.7152,18.1241,31.5182,39.6218,41.1000,29.3673,19.5000,40.7260,40.8616,34.6000,31.4728,21.0491,52.1124,29.0200,50.8416,37.7000,28.6423
MR-HuBERT,59.3000,32.2751,45.7321,36.6440,20.8819,35.4013,15.6000,27.7555,23.5747,35.7003,45.0052,3.3000,26.6526,35.9500,34.9717,25.9000,15.8152,35.8553,34.1539,27.5087,27.4539,7.8863,44.4000,11.6400,41.9343,39.8226,25.4481
XLS-R,51.0118,21.8882,36.3727,29.1482,11.1181,27.2995,0.9930,11.1004,10.9977,19.7841,36.4527,1.7211,15.8632,21.0500,20.7273,12.8696,4.8000,22.0058,23.6847,14.0522,14.3750,4.0500,23.1000,9.1312,31.3084,23.3200,15.0173
UniSpeech-SAT,52.2500,19.4625,31.6840,31.7609,16.2895,23.6938,3.1000,18.7776,13.8035,22.9355,33.2538,3.3868,18.9818,25.5750,18.7666,18.0666,9.4966,25.3125,29.4846,19.2905,22.5920,6.0644,46.4000,12.0200,35.8083,32.6166,16.9575
Data2Vec,57.5500,28.1500,30.1561,42.2006,23.4737,26.6498,7.6000,25.0444,21.3013,33.2674,30.2263,10.2783,32.8113,26.9000,36.6000,30.5980,37.8000,34.4000,32.5774,26.3649,30.1654,11.6845,30.8000,19.1976,39.3167,36.3200,27.3692
WAVLABLM,68.7500,40.9249,53.4620,49.6927,24.8732,42.9741,17.9211,38.8198,29.0529,44.2226,49.2474,7.7000,40.7000,46.1750,46.9335,37.8333,36.8972,44.7630,44.1904,32.6053,37.7727,15.9375,72.6774,25.0400,50.3750,50.0750,37.5289
WavLM Large,65.8029,35.5625,42.1621,38.1000,16.8553,33.9938,5.1000,34.5334,20.9573,32.4129,43.4473,13.5000,28.1981,39.1250,28.8333,21.1629,15.8062,36.0676,38.4462,27.0830,25.3650,15.7500,36.9832,28.7594,41.1070,40.4000,26.0400
SSAST,28.4000,26.0625,22.0282,23.6960,21.3631,26.6312,5.9000,18.3556,21.3721,16.6782,23.8948,19.8106,31.5820,33.2750,31.4334,26.4511,20.4775,24.8135,12.2307,27.4521,21.0449,19.7987,30.3000,22.8300,13.1176,18.7958,23.2327
MAE-AST-FRAME,34.9383,24.8729,15.2165,29.9880,13.1262,15.3378,9.7246,16.0239,15.0194,17.0516,22.4591,1.6208,27.6454,29.5227,26.5000,22.1833,37.1000,19.9932,12.1461,26.3051,12.8162,7.7155,40.4000,6.9922,15.3259,16.2559,21.1558
