tts_system,pub_year,pub_month,date_basis,date_type,source_url,arxiv_id,paper_title,n_table4_labels,table4_labels,mlaad_model_names,eer_percent,notes
Tacotron,2017,2017-03,paper-arxiv,publication,https://arxiv.org/abs/1703.10135,1703.10135,Tacotron: Towards End-to-End Speech Synthesis,1,Tacotron,Tacotron,,
Tacotron2,2017,2017-12,paper-arxiv,publication,https://arxiv.org/abs/1712.05884,1712.05884,Natural TTS Synthesis by Conditioning WaveNet on Mel Spectrogram Predictions,1,Tacotron 2,Tacotron 2,,
Capacitron,2019,2019-06,paper-arxiv,publication,https://arxiv.org/abs/1906.03402,1906.03402,Effective Use of Variational Embedding Capacity in Expressive End-to-End Speech Synthesis,1,Capacitron,Capacitron,,
GlowTTS,2020,2020-05,paper-arxiv,publication,https://arxiv.org/abs/2005.11129,2005.11129,Glow-TTS: A Generative Flow for Text-to-Speech via Monotonic Alignment Search,1,GlowTTS,GlowTTS,,
FastPitch,2020,2020-06,paper-arxiv,publication,https://arxiv.org/abs/2006.06873,2006.06873,FastPitch: Parallel Text-to-speech with Pitch Prediction,1,FastPitch,FastPitch,,
SpeedySpeech,2020,2020-08,paper-arxiv,publication,https://arxiv.org/abs/2008.03802,2008.03802,SpeedySpeech: Efficient Neural Speech Synthesis,1,Speedy Speech,Speedy Speech,,
Edge-TTS,2021,2021-05,github-created,release,https://github.com/rany2/edge-tts,,,1,Edge-TTS,Edge-TTS,,"date is the rany2/edge-tts CLIENT wrapper repo, NOT the underlying Microsoft neural-TTS service (older)"
VITS,2021,2021-06,paper-arxiv,publication,https://arxiv.org/abs/2106.06103,2106.06103,Conditional Variational Autoencoder with Adversarial Learning for End-to-End Text-to-Speech,2,VITS | VITS Neon,VITS | VITS Neon,,shares paper with other 'VITS' variant(s); same publication date
NeuralHMM,2021,2021-08,paper-arxiv,publication,https://arxiv.org/abs/2108.13320,2108.13320,Neural HMMs are all you need (for high-quality attention-free TTS),1,NeuralHMM,NeuralHMM,,
SpeechT5,2021,2021-10,paper-arxiv,publication,https://arxiv.org/abs/2110.07205,2110.07205,SpeechT5: Unified-Modal Encoder-Decoder Pre-Training for Spoken Language Processing,1,SpeechT5,SpeechT5,,
Overflow,2022,2022-11,paper-arxiv,publication,https://arxiv.org/abs/2211.06892,2211.06892,OverFlow: Putting flows on top of neural transducers for better TTS,1,Overflow,Overflow,,
ElevenLabs,2023,2023-01,product-announcement,announcement,https://elevenlabs.io,,,1,ElevenLabs,ElevenLabs,,ElevenLabs beta launched 23 Jan 2023; generic vendor label
WhisperSpeech,2023,2023-02,github-created,release,https://github.com/WhisperSpeech/WhisperSpeech,,,1,WhisperSpeech,WhisperSpeech,,INDEX year=2024 but GitHub repo created 2023-02; introduced 2023
Bark,2023,2023-04,github-created,release,https://github.com/suno-ai/bark,,,1,Bark,Bark,,
Jenny,2023,2023-05,coqui-release,release,https://github.com/coqui-ai/TTS/blob/dev/TTS/.models.json,,,1,Jenny,Jenny,,"Coqui TTS v0.14.0, where the Jenny VITS checkpoint shipped"
Tortoise,2023,2023-05,paper-arxiv,publication,https://arxiv.org/abs/2305.07243,2305.07243,Better speech synthesis through scaling,1,Tortoise,Tortoise,,
VITS-MMS,2023,2023-05,paper-arxiv,publication,https://arxiv.org/abs/2305.13516,2305.13516,"Scaling Speech Technology to 1,000+ Languages",1,VITS-MMS,VITS-MMS,,
StyleTTS2,2023,2023-06,paper-arxiv,publication,https://arxiv.org/abs/2306.07691,2306.07691,StyleTTS 2: Towards Human-Level Text-to-Speech through Style Diffusion and Adversarial Training with Large Speech Language Models,1,StyleTTS 2,StyleTTS 2,,
VITS2,2023,2023-07,paper-arxiv,publication,https://arxiv.org/abs/2307.16430,2307.16430,VITS2: Improving Quality and Efficiency of Single-Stage Text-to-Speech with Adversarial Learning and Architecture Design,1,VITS2,VITS2,,
MatchaTTS,2023,2023-09,paper-arxiv,publication,https://arxiv.org/abs/2309.03199,2309.03199,Matcha-TTS: A Fast TTS Architecture with Conditional Flow Matching,1,MatchaTTS,MatchaTTS,,
OpenAI-TTS-1-HD,2023,2023-11,product-announcement,announcement,https://platform.openai.com/docs/models/tts-1-hd,,,1,OpenAI TTS-1 HD,OpenAI TTS-1 HD,,"announced at OpenAI DevDay, Nov 2023"
OpenVoiceV2,2023,2023-12,paper-arxiv,publication,https://arxiv.org/abs/2312.01479,2312.01479,OpenVoice: Versatile Instant Voice Cloning,1,OpenVoiceV2,OpenVoiceV2,,
MeloTTS,2024,2024-02,github-created,release,https://github.com/myshell-ai/MeloTTS,,,1,MeloTTS,MeloTTS,,
Metavoice-1B,2024,2024-02,github-created,release,https://github.com/metavoiceio/metavoice-src,,,1,Metavoice-1B,Metavoice-1B,,
Parler-TTS,2024,2024-02,paper-arxiv,publication,https://arxiv.org/abs/2402.01912,2402.01912,Natural language guidance of high-fidelity text-to-speech with synthetic annotations,1,Parler TTS,Parler TTS,,
DeepGram,2024,2024-03,product-announcement,announcement,https://deepgram.com/product/text-to-speech,,,1,DeepGram,DeepGram,,Aura TTS announced 12 Mar 2024
VixTTS,2024,2024-04,hf-createdAt,release,https://huggingface.co/capleaf/viXTTS,,,1,VixTTS,VixTTS,,
ChatTTS,2024,2024-05,github-created,release,https://github.com/2noise/ChatTTS,,,1,ChatTTS,ChatTTS,,
Indri-TTS,2024,2024-05,github-created,release,https://github.com/cmeraki/indri,,,1,Indri-TTS-0.1,Indri-TTS-0.1,,
E2-TTS,2024,2024-06,paper-arxiv,publication,https://arxiv.org/abs/2406.18009,2406.18009,E2 TTS: Embarrassingly Easy Fully Non-Autoregressive Zero-Shot TTS,1,E2 TTS,E2 TTS,,
Mars5,2024,2024-06,github-created,release,https://github.com/Camb-ai/MARS5-TTS,,,1,Mars5,Mars5,,
XTTS,2024,2024-06,paper-arxiv,publication,https://arxiv.org/abs/2406.04904,2406.04904,XTTS: a Massively Multilingual Zero-Shot Text-to-Speech Model,2,XTTS v1.1 | XTTS v2,XTTS v1.1 | XTTS v2,,shares paper with other 'XTTS' variant(s); same publication date
Optispeech,2024,2024-07,github-created,release,https://github.com/mush42/optispeech,,,1,Optispeech,Optispeech,,
FireRedTTS,2024,2024-09,paper-arxiv,publication,https://arxiv.org/abs/2409.03283,2409.03283,FireRedTTS: A Foundation Text-To-Speech Framework for Industry-Level Generative Speech Applications,1,FireRedTTS,FireRedTTS,,
F5-TTS,2024,2024-10,paper-arxiv,publication,https://arxiv.org/abs/2410.06885,2410.06885,F5-TTS: A Fairytaler that Fakes Fluent and Faithful Speech with Flow Matching,2,F5 TTS | F5-TTS,F5 TTS | F5-TTS,,shares paper with other 'F5-TTS' variant(s); same publication date
FishTTS,2024,2024-11,paper-arxiv,publication,https://arxiv.org/abs/2411.01156,2411.01156,Fish-Speech: Leveraging Large Language Models for Advanced Multilingual Text-to-Speech Synthesis,2,Dual-AR | FishTTS,Dual-AR | FishTTS,,
OuteTTS,2024,2024-11,github-created,release,https://github.com/edwko/OuteTTS,,,1,OuteTTS,OuteTTS,,
Kokoro,2024,2024-12,hf-createdAt,release,https://huggingface.co/hexgrad/Kokoro-82M,,,1,Kokoro,Kokoro,,
YarnGPT,2024,2024-12,hf-createdAt,release,https://huggingface.co/saheedniyi/YarnGPT,,,1,YarnGPT,YarnGPT,,
MiniCPM-o-2.6,2025,2025-01,hf-createdAt,release,https://huggingface.co/openbmb/MiniCPM-o-2_6,,,1,MiniCPM-o-2.6,MiniCPM-o-2.6,,
Index-TTS,2025,2025-02,paper-arxiv,publication,https://arxiv.org/abs/2502.05512,2502.05512,IndexTTS: An Industrial-Level Controllable and Efficient Zero-Shot Text-To-Speech System,1,Index-TTS,Index-TTS,,
Llasa,2025,2025-02,paper-arxiv,publication,https://arxiv.org/abs/2502.04128,2502.04128,Llasa: Scaling Train-Time and Inference-Time Compute for Llama-based Speech Synthesis,1,Llasa,Llasa,,
MegaTTS3,2025,2025-02,paper-arxiv,publication,https://arxiv.org/abs/2502.18924,2502.18924,MegaTTS 3: Sparse Alignment Enhanced Latent Diffusion Transformer for Zero-Shot Speech Synthesis,1,MegaTTS3,MegaTTS3,,
Zonos,2025,2025-02,github-created,release,https://github.com/Zyphra/Zonos,,,1,ZonosTTS v0.1,ZonosTTS v0.1,,
IndicF5,2025,2025-03,hf-createdAt,release,https://huggingface.co/ai4bharat/IndicF5,,,1,IndicF5,IndicF5,,
Orpheus-TTS,2025,2025-03,github-created,release,https://github.com/canopyai/Orpheus-TTS,,,1,Orpheus TTS v0.1,Orpheus TTS v0.1,,
Qwen2.5-Omni,2025,2025-03,paper-arxiv,publication,https://arxiv.org/abs/2503.20215,2503.20215,Qwen2.5-Omni Technical Report,1,Qwen2.5-Omni,Qwen2.5-Omni,,
Sesame-CSM-1B,2025,2025-03,hf-createdAt,release,https://www.sesame.com/research/crossing_the_uncanny_valley_of_voice,,,2,Sesame CSM 1B | Sesame CSM-1B,Sesame CSM 1B | Sesame CSM-1B,,
