table4_label,mlaad_model_name,canonical_name,pub_year,pub_month,date_basis,date_type,source_url,arxiv_id,paper_title,eer_percent,notes
Tacotron,Tacotron,Tacotron,2017,2017-03,paper-arxiv,publication,https://arxiv.org/abs/1703.10135,1703.10135,Tacotron: Towards End-to-End Speech Synthesis,,
Tacotron 2,Tacotron 2,Tacotron2,2017,2017-12,paper-arxiv,publication,https://arxiv.org/abs/1712.05884,1712.05884,Natural TTS Synthesis by Conditioning WaveNet on Mel Spectrogram Predictions,,
Capacitron,Capacitron,Capacitron,2019,2019-06,paper-arxiv,publication,https://arxiv.org/abs/1906.03402,1906.03402,Effective Use of Variational Embedding Capacity in Expressive End-to-End Speech Synthesis,,
GlowTTS,GlowTTS,GlowTTS,2020,2020-05,paper-arxiv,publication,https://arxiv.org/abs/2005.11129,2005.11129,Glow-TTS: A Generative Flow for Text-to-Speech via Monotonic Alignment Search,,
FastPitch,FastPitch,FastPitch,2020,2020-06,paper-arxiv,publication,https://arxiv.org/abs/2006.06873,2006.06873,FastPitch: Parallel Text-to-speech with Pitch Prediction,,
Speedy Speech,Speedy Speech,SpeedySpeech,2020,2020-08,paper-arxiv,publication,https://arxiv.org/abs/2008.03802,2008.03802,SpeedySpeech: Efficient Neural Speech Synthesis,,
Edge-TTS,Edge-TTS,Edge-TTS,2021,2021-05,github-created,release,https://github.com/rany2/edge-tts,,,,"date is the rany2/edge-tts CLIENT wrapper repo, NOT the underlying Microsoft neural-TTS service (older)"
VITS,VITS,VITS,2021,2021-06,paper-arxiv,publication,https://arxiv.org/abs/2106.06103,2106.06103,Conditional Variational Autoencoder with Adversarial Learning for End-to-End Text-to-Speech,,shares paper with other 'VITS' variant(s); same publication date
VITS Neon,VITS Neon,VITS,2021,2021-06,paper-arxiv,publication,https://arxiv.org/abs/2106.06103,2106.06103,Conditional Variational Autoencoder with Adversarial Learning for End-to-End Text-to-Speech,,shares paper with other 'VITS' variant(s); same publication date
NeuralHMM,NeuralHMM,NeuralHMM,2021,2021-08,paper-arxiv,publication,https://arxiv.org/abs/2108.13320,2108.13320,Neural HMMs are all you need (for high-quality attention-free TTS),,
